Transaction_ID,Timestamp,Transaction_Amount,Transaction_Type,Currency,Merchant_Category,Device_Used,IP_Address,Transaction_Location,Payment_Method,User_ID,Account_Age,Avg_Transaction_Amount,Transaction_Frequency,Login_Frequency,Multiple_Devices_Used,Transaction_Velocity,Fraud_Score,Anomaly_Score,Historical_Fraud_Prob,Chargeback_History,Geolocation_Mismatch,IP_Reputation_Score,Card_Usage_Pattern
TXN100000,2023-01-01 00:00:00,50.39621887193194,Debit,EUR,Retail,Tablet,192.168.227.15,India,PayPal,7825,997,392.7160740201229,22,2,False,2,0.48190467238506807,0.7672641329783378,0.06619244579052017,False,False,0.35150191023794286,1
TXN100001,2023-01-01 01:00:00,32.450112441974014,Transfer,USD,Retail,Mobile,192.168.41.168,India,Bank,2846,76,208.70119149574842,1,1,False,6,0.4333453933722776,1.0528324259320896,0.09019285121925462,False,False,0.8694464032610101,1
TXN100002,2023-01-01 02:00:00,38.29562652245764,Credit,EUR,Food,Tablet,192.168.207.211,India,Bank,2371,339,129.79014664771677,20,3,False,1,0.5479309532061978,0.7102754423859026,0.003477257567216308,False,False,0.6738114210990197,1
TXN100003,2023-01-01 03:00:00,152.87176330505184,Online,INR,Food,Desktop,192.168.245.29,USA,PayPal,2466,765,266.69908666380985,24,3,False,3,0.7833790022848519,0.8389533313628835,0.010891009980223399,False,False,0.8506168659669923,2
TXN100004,2023-01-01 04:00:00,18.588666715777364,Credit,USD,Retail,Tablet,192.168.25.176,UK,Crypto,9882,1474,121.80158777517116,20,7,False,3,0.05726819166468122,0.7044631424904789,0.06906461200281432,False,True,0.5571821779256967,2
TXN100005,2023-01-01 05:00:00,57.94876539117222,Debit,INR,Travel,Desktop,192.168.30.252,India,Bank,1087,1103,260.54085082979924,15,4,False,6,0.8115186866124906,1.5,0.03443624323774628,False,True,0.7741615478735384,3
TXN100006,2023-01-01 06:00:00,185.41699349734773,Transfer,GBP,Retail,Tablet,192.168.49.142,USA,Crypto,3512,38,166.12137853868106,16,2,True,4,0.22853439235618134,0.569396822784278,0.06777309850154375,False,False,0.4861855811614961,4
TXN100007,2023-01-01 07:00:00,94.8192177990217,Online,GBP,Retail,Mobile,192.168.51.232,USA,Crypto,9685,318,242.54223579495923,29,2,True,8,0.25209291655706756,1.0051685128064136,0.022773747600363572,False,False,0.5027881659171999,1
TXN100008,2023-01-01 08:00:00,70.43525119743047,Debit,GBP,Digital,Mobile,192.168.165.37,Germany,Card,2245,1352,103.05971807637553,10,7,False,7,0.5994664890668177,0.9964453707580041,0.06282590406129619,False,False,0.5979908720624226,1
TXN100009,2023-01-01 09:00:00,60.42676486602129,Credit,INR,Retail,Tablet,192.168.234.248,UK,PayPal,7116,1454,120.04215836616737,24,8,False,9,0.9756713027758329,0.45272865212125235,0.047811518198830505,False,False,0.14060096190926374,1
TXN100010,2023-01-01 10:00:00,24.096173872353667,Credit,INR,Retail,Desktop,192.168.187.19,India,Card,5231,1187,297.83448094334585,27,5,False,5,0.017399333552498675,0.5761327937334785,0.012291849027331027,False,False,0.6434417888337683,3
TXN100011,2023-01-01 11:00:00,41.28250343214527,Transfer,GBP,Food,Desktop,192.168.98.214,UK,Bank,1977,1382,312.5836057245655,8,2,False,5,0.6731335896142853,0.5083707529159682,0.09294271144677684,True,False,0.8556877796419109,3
TXN100012,2023-01-01 12:00:00,33.8986144194944,Debit,INR,Food,Desktop,192.168.43.110,Germany,Card,9733,640,291.0659291047215,2,3,False,5,0.6968972059160002,0.5541819581720858,0.07921980339240313,False,False,0.15951821953504874,2
TXN100013,2023-01-01 13:00:00,202.27391686018447,Debit,EUR,Food,Tablet,192.168.230.88,Germany,PayPal,7722,670,160.42616640814475,22,1,False,9,0.573651796007669,0.5000877691233001,0.07810749252720534,False,False,0.37684398241284,4
TXN100014,2023-01-01 14:00:00,177.6396818903439,Transfer,INR,Food,Tablet,192.168.62.117,India,Crypto,5507,329,230.0598205614594,7,4,False,2,0.00969011439622025,0.5705324831759662,0.06969250701682903,False,False,0.9203025334286513,3
